what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1421646218405
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1421646218406
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1421646218406
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1421646218407
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1421646218407
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1421646218408
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1421646218408
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1421646218409
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1421646218409
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1421646218410
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1421646218410
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1421646218411
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1421646218411
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1421646218412
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1421646218412
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1421646218413
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1421646218413
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1421646218414
started,bundle,org.eclipse.emf.common,2.7.0.v20110605-0747,"org.eclipse.emf.common",1421646218416
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1421646218416
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1421646218417
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1421646218417
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1421646218418
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1421646218418
started,bundle,org.eclipse.equinox.ds,1.3.0.v20110502,"org.eclipse.equinox.ds",1421646218419
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1421646218419
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1421646218420
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1421646218420
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1421646218422
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1421646218423
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1421646218423
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1421646218424
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1421646218425
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1421646218426
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1421646218426
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1421646218428
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1421646218429
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",1421646218457
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1421646218481
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1421646218482
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1421646218507
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1421646218508
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1421646218508
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1421646218509
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1421646218509
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1421646218509
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1421646218510
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1421646218510
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1421646218536
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1421646218542
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1421646218543
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1421646218554
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1421646218554
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1421646218555
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1421646218567
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1421646218567
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1421646218599
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1421646218599
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1421646218624
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1421646218625
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1421646218626
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1421646218639
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1421646218641
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1421646218642
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1421646218644
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1421646218648
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1421646218649
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1421646218783
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1421646218784
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1421646218784
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1421646218868
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1421646218934
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1421646218936
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1421646218938
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1421646218940
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1421646218983
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1421646218984
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1421646218988
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1421646219017
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1421646219018
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1421646219018
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1421646219019
os,sysinfo,,,"win32",1421646219021
arch,sysinfo,,,"x86_64",1421646219021
ws,sysinfo,,,"win32",1421646219021
locale,sysinfo,,,"en_US",1421646219021
processors,sysinfo,,,"4",1421646219021
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1421646219021
java.runtime.version,sysinfo,,,"1.8.0_25-b18",1421646219021
java.specification.name,sysinfo,,,"Java Platform API Specification",1421646219021
java.specification.vendor,sysinfo,,,"Oracle Corporation",1421646219021
java.specification.version,sysinfo,,,"1.8",1421646219021
java.vendor,sysinfo,,,"Oracle Corporation",1421646219021
java.version,sysinfo,,,"1.8.0_25",1421646219021
java.vm.info,sysinfo,,,"mixed mode",1421646219021
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1421646219021
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1421646219021
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1421646219021
java.vm.specification.version,sysinfo,,,"1.8",1421646219021
java.vm.vendor,sysinfo,,,"Oracle Corporation",1421646219021
java.vm.version,sysinfo,,,"25.25-b02",1421646219021
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1421646219392
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1421646219523
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1421646219538
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1421646223412
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421646517714
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421646526584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421646721841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421646733139
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421646733906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421646736432
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421646739693
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1421646758248
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1421646758258
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421646758426
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1421646758437
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1421646760418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421646767127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421646775170
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1421646775545
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1421646775626
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1421646776651
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1421646776798
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1421646784655
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1421646850587
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.0.v201105180000,"org.eclipse.jpt.jaxb.ui",1421646850609
started,bundle,org.eclipse.jpt.jpa.ui,3.0.0.v201105170000,"org.eclipse.jpt.jpa.ui",1421646850635
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1421646850711
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1421646850728
started,bundle,org.eclipse.pde.api.tools,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools",1421646850774
started,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1421646850775
started,bundle,org.eclipse.jpt.jaxb.core,1.0.0.v201105240000,"org.eclipse.jpt.jaxb.core",1421646851012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421646892909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421646896807
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1421646978970
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1421646979314
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1421646979334
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1421646979435
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1421646979512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421646980213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421646981035
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1421646981254
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1421646981280
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1421646981310
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1421646981312
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1421646981341
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1421646981344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421646985500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421647000238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1421647000262
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1421647002415
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1421647003720
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1421647003889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421647007243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421647014453
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1421647015050
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1421647015122
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421647066348
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421647067755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421647195507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421647196787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421647214946
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421647216998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421647221982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421647225680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421647227724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421648533833
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421648536409
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421648537752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421648539027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421648549884
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1421648549905
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1421648551631
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421648555210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1421648563227
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1421648563402
